"species_group","kingdom","habitat_id","habitat","CF_occ_avg_reg","CF_occ_avg_reg_rsd","CF_occ_avg_glo","CF_occ_avg_glo_rsd","CF_occ_mar_reg","CF_occ_mar_reg_rsd","CF_occ_mar_glo","CF_occ_mar_glo_rsd","CF_tra_avg_reg","CF_tra_avg_reg_rsd","CF_tra_avg_glo","CF_tra_avg_glo_rsd","CF_tra_mar_reg","CF_tra_mar_reg_rsd","CF_tra_mar_glo","CF_tra_mar_glo_rsd","quality","weighting"
"Eukaryota",NA,12,"Plantation_Light",5.06882364947064e-12,1.54798009425014,8.63354294070362e-15,1.65667163050652,9.27109604528857e-12,1.39934883295592,1.57102344275207e-14,1.48256085890729,2.4661502053828e-09,1.65457848757506,2.69494798304861e-12,1.38333495851376,4.46786615967643e-09,1.57550238336428,4.78257911732088e-12,1.24121299138186,"original","land_use"
"Eukaryota",NA,13,"Plantation_Minimal",4.42006555524654e-12,3.792345792128,1.08475106079351e-14,1.39523409146756,7.70627339650347e-12,2.56072036498846,2.09359050375527e-14,1.20416389945113,8.12443035103904e-10,3.28700679862261,1.98000735945161e-12,1.5462062137926,1.39153074689242e-09,2.31175617196092,3.72961794532275e-12,1.30882115960833,"original","land_use"
"Eukaryota",NA,14,"Urban_Intense",5.91218449986033e-12,2.05278111559766,6.15749679011315e-15,2.05425611988166,4.19136687325999e-11,26.8255767226982,1.44339951090637e-14,5.0354267651278,2.24286196844592e-09,2.01191975319974,2.06159051993478e-12,1.597261978406,1.63499491232522e-08,26.9859158662148,5.02182947806207e-12,5.50848906393113,"original","land_use"
"Eukaryota",NA,15,"Urban_Light",2.79055680221593e-12,2.90671426503572,2.95535017069556e-15,2.68220643161206,1.02338577722019e-10,22.1584802194767,8.95075880386727e-15,7.78504727637212,1.29530121258636e-09,1.81868947139497,1.07952874322268e-12,1.59312846621535,4.05769214052528e-08,21.8807360150705,3.39276872034516e-12,7.9052155904036,"original","land_use"
"Eukaryota",NA,16,"Urban_Minimal",2.36794194103779e-12,2.87835928651469,2.76020325079276e-15,3.94440720187463,3.25904891782698e-11,30.5160695164913,5.60959032136786e-15,6.50108553264115,1.11238384066649e-09,1.57757479360949,9.15986468435402e-13,2.29162391497656,1.31932800687399e-08,29.4331707650552,2.00803345139825e-12,6.60164649723203,"original","land_use"
"Eukaryota",NA,2,"Cropland_Intense",3.63699006841701e-12,2.0660248067355,4.88877277200699e-15,2.34898209350111,2.284119411218e-11,33.8043440883889,1.03356114683816e-14,3.21510367029574,1.29323376774402e-09,2.14506481372631,1.19184871343951e-12,2.08138013254741,8.73672387899928e-09,34.6290779271887,2.65031612499135e-12,3.9287115202346,"original","ecoregion_area"
"Eukaryota",NA,3,"Cropland_Light",3.00448059475448e-12,4.19995717702642,3.60013269021603e-15,2.51594931097908,1.25131476510889e-11,43.2572570216892,7.38817687735299e-15,3.38476161999565,1.07998289100633e-09,2.5938946046218,8.42985377410466e-13,2.16660460927469,4.71328002853467e-09,45.0275226820521,1.81179015158539e-12,4.20295372204191,"original","ecoregion_area"
"Eukaryota",NA,4,"Cropland_Minimal",2.85190017967492e-12,5.3584917340309,2.93993257741589e-15,3.29790987692094,5.40378462034433e-12,6.77792160894252,5.65715087939314e-15,3.34787190497271,1.08361374768654e-09,4.68629917522761,6.53083864957008e-13,2.71947094729513,1.94128135319185e-09,6.69408997397221,1.27444036920116e-12,2.74827747794252,"original","ecoregion_area"
"Eukaryota",NA,5,"Managed_forest_Intense",1.66396404166034e-12,2.1594680108878,2.68812730090443e-15,2.08561006716548,3.20375829513704e-12,1.96158673399927,5.13618570967226e-15,2.4717409335371,5.85697676106933e-10,1.85637934500411,5.75419378569287e-13,2.01979022752312,1.14600984500715e-09,1.87106257470772,1.13896083033029e-12,2.24281581206471,"original","ecoregion_area"
"Eukaryota",NA,6,"Managed_forest_Light",1.67299713779089e-12,6.6540238751782,1.72796496138665e-15,4.32421483929962,2.73029871734011e-12,4.99480721367621,2.99635530156263e-15,3.64326382191694,7.2624665477173e-10,9.85354521208414,3.73564395827111e-13,3.33292007192095,1.13593973874645e-09,7.7349462617782,6.84519810096864e-13,2.76457288840352,"original","ecoregion_area"
