"objectid","iso3cd","romnam","m49code","species_group","kingdom","habitat_id","habitat","CF_occ_avg_reg","CF_occ_avg_reg_rsd","CF_occ_avg_glo","CF_occ_avg_glo_rsd","CF_occ_mar_reg","CF_occ_mar_reg_rsd","CF_occ_mar_glo","CF_occ_mar_glo_rsd","CF_tra_avg_reg","CF_tra_avg_reg_rsd","CF_tra_avg_glo","CF_tra_avg_glo_rsd","CF_tra_mar_reg","CF_tra_mar_reg_rsd","CF_tra_mar_glo","CF_tra_mar_glo_rsd","quality_reg","quality_glo"
82,"IRN","Iran (Islamic Republic of)","364","Plantae","Plantae",11,"Plantation_Intense",4.60262038497493e-12,1.32698675637901,1.34937677198627e-15,1.41060404723105,9.11571292918853e-12,1.28347062806204,2.64929780990449e-15,1.34009413716937,2.24681368769078e-09,1.43927850166096,8.65822728432057e-13,1.74450237363151,4.41503057108166e-09,1.42447984848377,1.67432128442856e-12,1.70086876116147,"proxy_type","proxy_type"
82,"IRN","Iran (Islamic Republic of)","364","Plantae","Plantae",12,"Plantation_Light",2.65785120822497e-12,1.32698675637901,7.79217572555452e-16,1.41060404723105,5.26400324079901e-12,1.28347062806204,1.52987620008569e-15,1.34009413716938,1.2974557914834e-09,1.43927850166096,4.99982138953725e-13,1.74450237363151,2.54952469597674e-09,1.42447984848377,9.66861586782687e-13,1.70086876116147,"proxy_type","proxy_type"
82,"IRN","Iran (Islamic Republic of)","364","Plantae","Plantae",13,"Plantation_Minimal",2.65785120822497e-12,1.32698675637901,7.79217572555452e-16,1.41060404723105,5.26400324079901e-12,1.28347062806204,1.52987620008569e-15,1.34009413716938,1.2974557914834e-09,1.43927850166096,4.99982138953725e-13,1.74450237363151,2.54952469597674e-09,1.42447984848377,9.66861586782687e-13,1.70086876116147,"proxy_type","proxy_type"
82,"IRN","Iran (Islamic Republic of)","364","Plantae","Plantae",14,"Urban_Intense",1.05688656868682e-12,2.23010567857719,3.09564911128582e-16,1.53757891395992,2.07151711380868e-12,2.58259293503839,7.33892009077081e-16,2.79004362223286,4.45257896217585e-10,1.90407238924494,1.59236140669855e-13,1.48391525133449,8.88029864802679e-10,2.12044192018499,3.61756823048931e-13,2.3062947832366,"original","original"
82,"IRN","Iran (Islamic Republic of)","364","Plantae","Plantae",15,"Urban_Light",4.25843438624438e-14,1.78411014193465,1.23446371105129e-17,1.43499205061495,7.83354350886577e-14,1.94476858142562,2.79267618689246e-17,2.46766929643618,2.31271934955955e-11,1.99369432262779,6.99811957941667e-15,1.50414077617294,4.36964482157352e-11,2.03343474618177,1.51175992424648e-14,2.00652601476276,"original","original"
82,"IRN","Iran (Islamic Republic of)","364","Plantae","Plantae",16,"Urban_Minimal",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"original","original"
83,"IRQ","Iraq","368","Animalia","Animalia",2,"Cropland_Intense",1.71261604765166e-12,1.76874385380773,9.77579703234277e-16,0.564058892693497,2.17971727533704e-12,1.8689889750872,1.1986977623914e-15,1.16900291719745,6.94870117467437e-10,1.79943695198426,4.1217160595484e-13,1.33204876254501,9.16039175400223e-10,1.85641167960293,5.46614163892465e-13,1.80620206346667,"original","original"
83,"IRQ","Iraq","368","Animalia","Animalia",3,"Cropland_Light",1.71261604765166e-12,1.76874385380773,9.77579703234277e-16,0.564058892693497,2.17971727533704e-12,1.8689889750872,1.1986977623914e-15,1.16900291719745,6.94870117467437e-10,1.79943695198426,4.1217160595484e-13,1.33204876254501,9.16039175400223e-10,1.85641167960293,5.46614163892465e-13,1.80620206346667,"original","original"
83,"IRQ","Iraq","368","Animalia","Animalia",4,"Cropland_Minimal",8.81527191686518e-13,1.13350671190427,8.35334336969334e-16,0.666139322375355,1.05730349139235e-12,1.7513212904999,9.45460709211046e-16,1.83358813673923,2.9752683729188e-10,1.60598998878217,2.59381418318145e-13,0.947907808625975,3.69941850835703e-10,2.23639495839782,3.03696130622025e-13,2.41432707309578,"original","original"
83,"IRQ","Iraq","368","Animalia","Animalia",5,"Managed_forest_Intense",6.11628741498077e-13,1.38360703837931,8.05336522819839e-16,1.32878415066641,1.0199240536345e-12,2.56962855351721,1.35380786079478e-15,2.62964658038772,4.84329612529549e-10,0.365529356061863,6.40609460171213e-13,0.33433150809388,7.8090286760223e-10,1.04468190849843,1.03772584992396e-12,1.07732738256062,"original","original"
83,"IRQ","Iraq","368","Animalia","Animalia",6,"Managed_forest_Light",1.66819232568429e-13,1.38360703837931,2.1965223603959e-16,1.32878415066642,2.78180105612196e-13,2.56962855351722,3.69245545638901e-16,2.62964658038774,1.32098916860005e-10,0.365529356061867,1.7472360481309e-13,0.334331508093878,2.12988056716919e-10,1.04468190849843,2.83035472591965e-13,1.07732738256063,"original","original"
