"species_group","kingdom","habitat_id","habitat","CF_occ_avg_reg","CF_occ_avg_reg_rsd","CF_occ_avg_glo","CF_occ_avg_glo_rsd","CF_occ_mar_reg","CF_occ_mar_reg_rsd","CF_occ_mar_glo","CF_occ_mar_glo_rsd","CF_tra_avg_reg","CF_tra_avg_reg_rsd","CF_tra_avg_glo","CF_tra_avg_glo_rsd","CF_tra_mar_reg","CF_tra_mar_reg_rsd","CF_tra_mar_glo","CF_tra_mar_glo_rsd","quality","weighting"
"Plantae","Plantae",12,"Plantation_Light",3.87209071901593e-12,1.8096751014019,4.83806587379292e-15,1.17517066934495,7.71968338424631e-12,1.50649502412447,9.76464544016591e-15,1.13602764163252,1.68851787127729e-09,1.65940270796751,1.42333705740706e-12,1.00775378106443,3.45690522320509e-09,1.5589703015195,2.77629405154181e-12,0.934921476747761,"original","land_use"
"Plantae","Plantae",13,"Plantation_Minimal",4.21208250590261e-12,5.25543667273135,7.35074145818596e-15,1.20953740108689,7.34519372671627e-12,3.49496927283779,1.53896809860219e-14,1.05996887918803,7.44314557668317e-10,4.53634357461824,1.20929265151725e-12,1.19720900275646,1.28028681116624e-09,3.09897950767715,2.5114635003097e-12,1.059186981121,"original","land_use"
"Plantae","Plantae",14,"Urban_Intense",5.84057655116341e-12,2.39596599837791,4.83343110346837e-15,1.88119485592182,1.26238410211196e-11,1.84392869139545,9.69884463173481e-15,1.72717999669142,1.9892091723151e-09,2.18251575067514,1.65872073302247e-12,1.62905925587941,4.64881655818058e-09,1.62631133562078,3.55218575117234e-12,1.41986153731113,"original","land_use"
"Plantae","Plantae",15,"Urban_Light",2.61799307817876e-13,24.0509500710509,1.50665129312046e-16,3.34129632521924,4.82245324544833e-13,14.1952652235284,3.01528412557889e-16,2.30175208721833,8.15335947346975e-11,12.4246080604013,5.69132053559282e-14,1.9145043778355,1.81217699387163e-10,6.17049817047504,1.26085182005671e-13,1.36702947378829,"original","land_use"
"Plantae","Plantae",16,"Urban_Minimal",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,"original","land_use"
"Animalia","Animalia",2,"Cropland_Intense",3.07740182442122e-12,1.86347290805612,4.42122498412244e-15,2.86464768585835,3.67112009494683e-11,41.9551234225858,9.9057365974562e-15,5.28489575690229,1.27542835552274e-09,2.18735215279984,1.1447069332186e-12,2.55098580743271,1.44445415246098e-08,41.7866406025394,2.69572160819553e-12,7.09241506223604,"original","ecoregion_area"
"Animalia","Animalia",3,"Cropland_Light",3.10254530232996e-12,2.80253361662394,3.91999587391943e-15,3.02452204870514,1.92070170157116e-11,56.2507629912216,8.35057723312483e-15,4.84702360759045,1.32320462428983e-09,2.31467553127445,9.60513477472505e-13,2.49921703968314,7.57066012124594e-09,55.9794858969284,2.12502333753062e-12,6.61255546743938,"original","ecoregion_area"
"Animalia","Animalia",4,"Cropland_Minimal",2.73474852509564e-12,4.18283652676748,3.48711058572429e-15,4.2335715907878,5.699938852016e-12,10.4220921490443,6.68107061394989e-15,3.83005505981986,1.19399119993226e-09,3.39569782906333,8.21461666963837e-13,3.31087914620898,2.22472748318561e-09,10.1995225312989,1.55897678112906e-12,3.10907428076898,"original","ecoregion_area"
"Animalia","Animalia",5,"Managed_forest_Intense",1.25767719344703e-12,1.9465467419648,1.59238423138331e-15,2.43279610796284,2.27384114542597e-12,1.83965132339043,2.96330934865992e-15,2.52676284308937,5.5169061454316e-10,1.82243359008104,3.7686363187105e-13,2.05453815670986,9.22852223822917e-10,1.72367727486484,6.95633500117798e-13,2.13655321893937,"original","ecoregion_area"
"Animalia","Animalia",6,"Managed_forest_Light",1.12940092932102e-12,10.0552144577542,7.72980626652342e-16,11.3651211286956,1.58869692789794e-12,8.12724576984842,1.28355134483598e-15,9.90509174625185,6.64241997106268e-10,12.7514940485031,1.75497170029975e-13,8.05835000525075,8.59924321277699e-10,11.3799790415706,2.9684461157359e-13,6.89056051578253,"original","ecoregion_area"
"Animalia","Animalia",7,"Managed_forest_Minimal",1.29009484802778e-13,10.0208267012417,1.30929463468111e-16,10.0320101062694,2.05697469676988e-13,7.83699933055693,2.19939050998678e-16,9.34462552176114,6.7216045151185e-11,16.109775253937,2.99637644613083e-14,7.19348449543578,9.84217142727466e-11,13.6574231391469,5.10871414994753e-14,6.52052478958317,"original","ecoregion_area"
"Animalia","Animalia",8,"Pasture_Intense",3.29811941733823e-12,1.80896593454959,4.04621187651851e-15,2.49474167899544,5.90007821121748e-11,33.555176885052,1.01925746189367e-14,6.72396241550687,1.45837737345619e-09,2.32692788794098,1.1767581746011e-12,1.78654717929362,2.35268413748078e-08,33.026608410138,3.20225770553066e-12,8.15597971721268,"original","ecoregion_area"
"Animalia","Animalia",9,"Pasture_Light",1.03693860484933e-11,4.97780879260164,4.0835909375397e-15,2.88267881425634,3.64244793197606e-11,34.9227151490582,8.80495116135978e-15,5.42217069164841,6.33805648894099e-09,5.88924072443365,9.87601768839168e-13,2.31171935361689,1.68446937693793e-08,29.7134238457441,2.28464783991727e-12,7.50268226680161,"original","ecoregion_area"
